pedido_id,codigo,descricao,quantidade,valor_unitario,total_item
25076406574,TAT-50x50-10-MR,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Marrom,2,12,24
25076406574,TAT-50x50-10-AZC,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul Ciano,2,12,24
25075017084,TAT-50x50-10-AM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo,2,10.5,21.0
25075017084,TAT-50x50-10-AMB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo BB,2,10.5,21.0
25075017084,TAT-50x50-10-AZBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul BB,2,10.5,21.0
25075017084,TAT-50x50-10-VM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Vermelho,2,10.5,21.0
25075017084,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,2,10.5,21.0
25075017084,TAT-50x50-10-CN,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Cenoura,2,10.5,21.0
25074328810,TAT-50x50-20-AM,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Amarelo,1,20,20
25066796924,TAT-50x50-10-VM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Vermelho,1,12,12
25066796924,TAT-50x50-10-AM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo,1,12,12
25066796924,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,1,12,12
25066796924,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,1,12,12
25057422152,EVA-AMAR-060170-05,Esteira Amarelinha em EVA 170x60cm – 5mm (com Alça para Transporte),1,59,59
25057422152,TAT-50x50-15-VR,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Vermelho,2,17,34
25057422152,TAT-50x50-15-RSF,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Rosa Fluor,2,17,34
25057422152,TAT-50x50-15-AZCI,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Azul Ciano,1,17,17
25057422152,TAT-50x50-15-AZBB,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Azul BB,1,17,17
25057422152,TAT-50x50-15-VRF,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Verde Bandeira,1,17,17
25057422152,TAT-50x50-15-VRG,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Verde Grama,1,17,17
25057422152,TAT-50x50-15-VDBB,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Verde BB,1,17,17
25057422152,TAT-50x50-15-RS,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Rosa,1,17,17
25057422152,TAT-50x50-15-LL,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Lilás,1,17,17
25057422152,TAT-50x50-15-AZ,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Azul,1,17,17
25050307308,TAT-50x50-10-LBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás BB,5,12,60
25050307308,TAT-50x50-10-LL,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás,5,12,60
25048226229,MAX50X50X20-VM,EVA MAX - Tatame EVA 50x50cm 20mm Cor:Vermelho,2,21,42
